genome,completeness,contamination
YouL_2022__SRR13308520__bin.20,84.24,4.79
YouL_2022__SRR13308520__bin.3,62.09,0.0
YouL_2022__SRR13308520__bin.4,98.85,0.05
YouL_2022__SRR13308520__bin.7,84.52,0.26
YouL_2022__SRR13308521__bin.12,73.69,4.36
YouL_2022__SRR13308521__bin.17,81.39,1.63
YouL_2022__SRR13308521__bin.25,93.92,0.11
YouL_2022__SRR13308521__bin.3,68.51,1.27
YouL_2022__SRR13308521__bin.31,78.37,0.13
YouL_2022__SRR13308521__bin.34,99.9,1.95
YouL_2022__SRR13308521__bin.39,54.72,0.46
YouL_2022__SRR13308522__bin.5,56.18,0.07
YouL_2022__SRR13308523__bin.1,50.62,2.55
YouL_2022__SRR13308523__bin.13,67.23,0.2
YouL_2022__SRR13308523__bin.15,77.48,0.06
YouL_2022__SRR13308523__bin.20,72.09,0.69
YouL_2022__SRR13308523__bin.29,89.56,1.1
YouL_2022__SRR13308523__bin.3,63.85,0.64
YouL_2022__SRR13308523__bin.34,51.17,0.11
YouL_2022__SRR13308523__bin.52,91.55,2.81
YouL_2022__SRR13308523__bin.53,93.4,0.89
YouL_2022__SRR13308523__bin.54,52.74,2.91
YouL_2022__SRR13308523__bin.57,89.41,0.47
YouL_2022__SRR13308523__bin.58,94.72,3.65
YouL_2022__SRR13308523__bin.65,57.58,0.2
YouL_2022__SRR13308523__bin.66,65.4,0.03
YouL_2022__SRR13308523__bin.9,51.9,0.66
YouL_2022__SRR13308524__bin.24,50.16,0.04
YouL_2022__SRR13308524__bin.27,59.51,0.12
YouL_2022__SRR13308524__bin.34,99.44,0.18
YouL_2022__SRR13308524__bin.37,70.89,0.29
YouL_2022__SRR13308524__bin.4,74.06,2.14
YouL_2022__SRR13308524__bin.43,85.43,0.01
YouL_2022__SRR13308524__bin.47,54.63,0.19
YouL_2022__SRR13308524__bin.49,74.91,2.98
YouL_2022__SRR13308524__bin.8,92.17,4.66
YouL_2022__SRR13308525__bin.10,60.98,0.19
YouL_2022__SRR13308525__bin.12,61.55,1.06
YouL_2022__SRR13308525__bin.14,81.34,2.4
YouL_2022__SRR13308525__bin.7,100.0,0.06
YouL_2022__SRR13308526__bin.21,55.56,1.84
YouL_2022__SRR13308526__bin.22,78.46,0.22
YouL_2022__SRR13308526__bin.24,88.99,4.01
YouL_2022__SRR13308526__bin.37,97.3,0.63
YouL_2022__SRR13308526__bin.43,63.91,1.53
YouL_2022__SRR13308526__bin.5,53.63,0.07
YouL_2022__SRR13308526__bin.8,99.95,0.21
YouL_2022__SRR13308526__bin.9,67.58,3.43
YouL_2022__SRR13308527__bin.10,59.99,0.33
YouL_2022__SRR13308527__bin.15,89.59,0.35
YouL_2022__SRR13308528__bin.1,85.97,0.26
YouL_2022__SRR13308528__bin.11,64.25,0.23
YouL_2022__SRR13308528__bin.16,85.93,1.94
YouL_2022__SRR13308528__bin.19,59.36,0.05
YouL_2022__SRR13308528__bin.21,85.46,0.22
YouL_2022__SRR13308528__bin.22,57.19,3.53
YouL_2022__SRR13308528__bin.4,71.84,1.84
YouL_2022__SRR13308529__bin.1,83.85,1.59
YouL_2022__SRR13308529__bin.12,81.58,2.29
YouL_2022__SRR13308529__bin.13,83.09,1.26
YouL_2022__SRR13308529__bin.15,59.52,0.08
YouL_2022__SRR13308529__bin.8,94.18,2.91
YouL_2022__SRR13308530__bin.11,55.91,0.08
YouL_2022__SRR13308531__bin.1,74.04,1.13
YouL_2022__SRR13308531__bin.11,83.44,0.0
YouL_2022__SRR13308531__bin.12,76.67,0.54
YouL_2022__SRR13308531__bin.18,79.27,0.54
YouL_2022__SRR13308531__bin.4,54.53,0.03
YouL_2022__SRR13308532__bin.18,57.68,0.36
YouL_2022__SRR13308532__bin.3,54.2,0.1
YouL_2022__SRR13308532__bin.8,66.64,0.12
YouL_2022__SRR13308533__bin.1,78.6,4.52
YouL_2022__SRR13308533__bin.4,85.14,0.92
YouL_2022__SRR13308534__bin.12,87.24,4.13
YouL_2022__SRR13308534__bin.20,98.06,2.43
YouL_2022__SRR13308534__bin.26,59.71,2.98
YouL_2022__SRR13308534__bin.8,93.85,0.99
YouL_2022__SRR13308535__bin.1,50.71,0.26
YouL_2022__SRR13308535__bin.1,50.71,0.26
YouL_2022__SRR13308537__bin.10,61.85,0.79
YouL_2022__SRR13308537__bin.18,98.25,0.58
YouL_2022__SRR13308537__bin.30,99.78,4.01
YouL_2022__SRR13308537__bin.7,97.24,0.32
YouL_2022__SRR13308538__bin.4,62.78,0.06
YouL_2022__SRR13308539__bin.1,99.54,0.06
YouL_2022__SRR13308540__bin.23,84.08,0.33
YouL_2022__SRR13308540__bin.26,99.8,1.1
YouL_2022__SRR13308540__bin.3,62.77,2.19
YouL_2022__SRR13308540__bin.9,74.01,0.04
YouL_2022__SRR13308541__bin.13,81.44,0.14
YouL_2022__SRR13308541__bin.16,55.55,2.33
YouL_2022__SRR13308541__bin.19,91.24,1.27
YouL_2022__SRR13308541__bin.22,86.62,3.61
YouL_2022__SRR13308541__bin.26,59.01,0.02
YouL_2022__SRR13308541__bin.27,80.24,0.44
YouL_2022__SRR13308541__bin.6,88.25,1.19
YouL_2022__SRR13308541__bin.8,65.98,0.35
YouL_2022__SRR13308542__bin.1,55.13,0.04
YouL_2022__SRR13308542__bin.14,53.23,0.65
YouL_2022__SRR13308542__bin.15,89.65,3.55
YouL_2022__SRR13308542__bin.17,71.63,0.08
YouL_2022__SRR13308542__bin.19,76.95,0.2
YouL_2022__SRR13308542__bin.20,52.33,2.95
YouL_2022__SRR13308542__bin.6,86.73,3.2
YulandiA_2020__SRS6115052__bin.29,77.00983718,4.187396352
YulandiA_2020__SRS6115052__bin.5,98.63387978,0.0
YulandiA_2020__SRS6115052__bin.21,98.36400818,0.0
YulandiA_2020__SRS6115052__bin.28,93.44746163,1.796536797
YulandiA_2020__SRS6115052__bin.11,93.84816754,1.439790576
YulandiA_2020__SRS6115052__bin.12,64.15819511,0.801230605
YulandiA_2020__SRS6115052__bin.1,81.340151,3.349673203
YulandiA_2020__SRS6115052__bin.2,98.7704918,1.014832162
YulandiA_2020__SRS6115052__bin.6,97.79365079,1.666666667
YulandiA_2020__SRS6115052__bin.7,90.98383213,4.086687307
YulandiA_2020__SRS6115052__bin.8,89.07284768,1.214128035
YulandiA_2020__SRS6115053__bin.13,90.21636823,2.272727273
YulandiA_2020__SRS6115053__bin.2,92.62295082,0.683060109
YulandiA_2020__SRS6115053__bin.10,97.73584906,0.377358491
YulandiA_2020__SRS6115053__bin.7,97.08588957,0.920245399
YulandiA_2020__SRS6115053__bin.3,87.46957694,2.784657723
YulandiA_2020__SRS6115053__bin.17,97.07602339,2.192982456
YulandiA_2020__SRS6115053__bin.23,100.0,0.735294118
YulandiA_2020__SRS6115053__bin.26,94.90294355,2.569924019
YulandiA_2020__SRS6115053__bin.6,51.72413793,0.0
YuY_2022__SRR16950696__bin.17,56.85,0.98
YuY_2022__SRR16950696__bin.19,65.62,0.39
YuY_2022__SRR16950696__bin.2,91.52,2.97
YuY_2022__SRR16950696__bin.22,99.06,2.53
YuY_2022__SRR16950696__bin.3,94.16,1.4
YuY_2022__SRR16950696__bin.5,84.52,4.44
YuY_2022__SRR16950696__bin.8,75.19,3.73
YuY_2022__SRR16950697__bin.1,50.79,1.17
YuY_2022__SRR16950697__bin.11,56.71,0.45
YuY_2022__SRR16950697__bin.12,57.53,1.38
YuY_2022__SRR16950697__bin.15,85.53,4.18
YuY_2022__SRR16950697__bin.3,100.0,2.43
YuY_2022__SRR16950697__bin.5,88.21,1.31
YuY_2022__SRR16950698__bin.1,84.89,2.0
YuY_2022__SRR16950698__bin.18,53.13,1.12
YuY_2022__SRR16950698__bin.2,100.0,3.33
YuY_2022__SRR16950698__bin.20,84.05,1.2
YuY_2022__SRR16950698__bin.4,60.68,1.68
YuY_2022__SRR16950699__bin.12,54.41,0.82
YuY_2022__SRR16950699__bin.21,63.28,0.19
YuY_2022__SRR16950699__bin.23,82.41,0.12
YuY_2022__SRR16950699__bin.25,69.68,1.56
YuY_2022__SRR16950699__bin.4,55.89,1.93
YuY_2022__SRR16950700__bin.19,83.79,0.0
YuY_2022__SRR16950700__bin.20,91.96,4.76
YuY_2022__SRR16950700__bin.21,68.31,0.55
YuY_2022__SRR16950700__bin.23,94.14,3.41
YuY_2022__SRR16950700__bin.25,55.9,0.09
YuY_2022__SRR16950700__bin.3,51.55,1.37
YuY_2022__SRR16950700__bin.5,87.13,0.01
YuY_2022__SRR16950701__bin.10,81.35,0.2
YuY_2022__SRR16950701__bin.24,53.04,1.18
YuY_2022__SRR16950701__bin.28,64.84,1.01
YuY_2022__SRR16950701__bin.3,54.02,0.63
YuY_2022__SRR16950701__bin.9,65.63,1.81
YuY_2022__SRR16950702__bin.15,71.05,0.49
YuY_2022__SRR16950702__bin.24,53.22,0.04
YuY_2022__SRR16950702__bin.26,55.74,1.68
YuY_2022__SRR16950702__bin.27,52.98,0.07
YuY_2022__SRR16950702__bin.30,80.74,1.2
YuY_2022__SRR16950703__bin.21,83.99,0.18
YuY_2022__SRR16950703__bin.3,59.74,3.56
YuY_2022__SRR16950704__bin.11,87.79,0.51
YuY_2022__SRR16950704__bin.19,74.7,0.12
YuY_2022__SRR16950704__bin.23,60.55,1.51
ZhaoCC_2020__SRS5803191__bin.24,50.86206897,0.0
ZhaoCC_2020__SRS5803191__bin.31,62.06896552,0.0
ZhaoCC_2020__SRS5803192__bin.21,75.57471264,0.0
ZhaoCC_2020__SRS5803192__bin.11,78.9044289,0.0
ZhaoCC_2020__SRS5803192__bin.13,66.55629139,2.869757174
ZhaoCC_2020__SRS5803192__bin.14,69.18238994,1.493710692
ZhaoCC_2020__SRS5803192__bin.16,74.13793103,3.448275862
ZhaoCC_2020__SRS5803192__bin.17,93.24009324,0.371503497
ZhaoCC_2020__SRS5803192__bin.31,77.31988762,2.939995986
ZhaoCC_2020__SRS5803193__bin.4,51.72413793,1.724137931
ZhaoCC_2020__SRS5803193__bin.17,69.82758621,1.724137931
ZhaoCC_2020__SRS5803193__bin.1,54.31034483,0.0
ZhaoCC_2020__SRS5803193__bin.14,88.67924528,1.650943396
ZhaoCC_2020__SRS5803193__bin.13,58.79310345,0.862068966
ZhaoCC_2020__SRS5803193__bin.3,92.7229021,2.097902098
ZhaoCC_2020__SRS5803193__bin.7,91.94630872,3.579418345
ZhaoCC_2020__SRS5803194__bin.44,69.11421911,0.699300699
ZhaoCC_2020__SRS5803194__bin.14,59.48275862,3.448275862
ZhaoCC_2020__SRS5803194__bin.24,91.84149184,0.021853147
ZhaoCC_2020__SRS5803194__bin.5,94.43396226,2.122641509
ZhaoCC_2020__SRS5803194__bin.11,62.28070175,3.50877193
ZhaoCC_2020__SRS5803194__bin.17,82.0754717,4.716981132
ZhaoCC_2020__SRS5803194__bin.35,50.0,1.724137931
ZhaoCC_2020__SRS5803194__bin.38,96.61202186,3.796177382
ZhaoCC_2020__SRS5803195__bin.42,54.31034483,0.0
ZhaoCC_2020__SRS5803195__bin.27,88.36684149,2.447552448
ZhaoCC_2020__SRS5803195__bin.4,93.86792453,1.628481581
ZhaoCC_2020__SRS5803195__bin.23,88.65821678,1.748251748
ZhaoCC_2020__SRS5803195__bin.38,62.45614035,0.0
ZhaoCC_2020__SRS5803195__bin.39,91.54929577,0.704225352
ZhaoCC_2020__SRS5803195__bin.46,75.86206897,3.448275862
ZhaoCC_2020__SRS5803195__bin.53,65.51724138,0.0
AlvarezOrdonezA_xxxx__Q01-22__bin.5,98.94641782,0.87196468
AlvarezOrdonezA_xxxx__Q01-22__bin.22,99.38650307,1.840490798
AlvarezOrdonezA_xxxx__Q01-22__bin.8,79.00419539,3.868292202
AlvarezOrdonezA_xxxx__Q01-22__bin.14,53.44827586,0.0
AlvarezOrdonezA_xxxx__Q01-22__bin.2,65.51724138,1.724137931
AlvarezOrdonezA_xxxx__Q01-22__bin.18,50.67092894,0.316856781
AlvarezOrdonezA_xxxx__Q01-22__bin.24,93.26867816,4.202586207
AlvarezOrdonezA_xxxx__Q01-22__bin.12,81.03448276,3.448275862
AlvarezOrdonezA_xxxx__Q01-22__bin.16,74.04724395,1.657302886
AlvarezOrdonezA_xxxx__Q01-22__bin.3,82.20862914,4.002088397
AlvarezOrdonezA_xxxx__Q01-22__bin.9,82.19488343,2.447318008
AlvarezOrdonezA_xxxx__Q03-22__bin.2,75.26939655,0.862068966
AlvarezOrdonezA_xxxx__Q05-22__bin.5,60.5015674,0.0
AlvarezOrdonezA_xxxx__Q05-22__bin.3,80.39814815,0.185185185
AlvarezOrdonezA_xxxx__Q05-22__bin.4,99.33774834,0.0
AlvarezOrdonezA_xxxx__Q05-22__bin.10,99.32659933,0.168350168
AlvarezOrdonezA_xxxx__Q05-22__bin.1,78.62068966,0.0
AlvarezOrdonezA_xxxx__Q05-22__bin.7,57.32758621,0.0
AlvarezOrdonezA_xxxx__Q05-22__bin.2,58.62068966,0.0
AlvarezOrdonezA_xxxx__Q06-22__bin.2,96.98275862,0.969827586
AlvarezOrdonezA_xxxx__Q06-22__bin.3,61.05499439,0.168350168
AlvarezOrdonezA_xxxx__Q06-22__bin.1,97.8987069,0.707826234
AlvarezOrdonezA_xxxx__Q06-22__bin.6,67.34913793,0.646551724
AlvarezOrdonezA_xxxx__Q07-22__bin.27,91.43758231,0.557981562
AlvarezOrdonezA_xxxx__Q07-22__bin.22,88.42592593,0.666666667
AlvarezOrdonezA_xxxx__Q07-22__bin.16,95.13245033,2.196467991
AlvarezOrdonezA_xxxx__Q07-22__bin.1,88.52506462,1.62835249
AlvarezOrdonezA_xxxx__Q07-22__bin.28,96.881098,2.064220183
AlvarezOrdonezA_xxxx__Q07-22__bin.8,67.2903562,0.570342205
AlvarezOrdonezA_xxxx__Q07-22__bin.2,98.8372093,1.162790698
AlvarezOrdonezA_xxxx__Q07-22__bin.19,92.58682831,1.097640891
AlvarezOrdonezA_xxxx__Q07-22__bin.5,98.70689655,1.893171062
AlvarezOrdonezA_xxxx__Q07-22__bin.12,85.85190039,3.027522936
AlvarezOrdonezA_xxxx__Q07-22__bin.21,84.73154362,1.677852349
AlvarezOrdonezA_xxxx__Q07-22__bin.14,97.80141844,3.546099291
AlvarezOrdonezA_xxxx__Q07-22__bin.15,96.98275862,1.379310345
AlvarezOrdonezA_xxxx__Q07-22__bin.18,97.09480122,1.539973788
AlvarezOrdonezA_xxxx__Q07-22__bin.6,99.07801418,0.0
AlvarezOrdonezA_xxxx__Q07-22__bin.7,94.82269504,0.85106383
AlvarezOrdonezA_xxxx__Q07-22__bin.9,73.2232967,1.8
AlvarezOrdonezA_xxxx__Q08-22__bin.11,50.60866441,0.568181818
AlvarezOrdonezA_xxxx__Q08-22__bin.3,63.95326471,0.735080058
AlvarezOrdonezA_xxxx__Q08-22__bin.5,88.99963925,3.121212121
AlvarezOrdonezA_xxxx__Q08-22__bin.14,94.37086093,2.097130243
AlvarezOrdonezA_xxxx__Q08-22__bin.26,98.77300613,1.073619632
AlvarezOrdonezA_xxxx__Q08-22__bin.12,89.3244809,2.39485371
AlvarezOrdonezA_xxxx__Q08-22__bin.27,73.68097675,2.353786342
AlvarezOrdonezA_xxxx__Q08-22__bin.21,85.51724138,1.724137931
AlvarezOrdonezA_xxxx__Q08-22__bin.23,83.34332834,3.333333333
AlvarezOrdonezA_xxxx__Q08-22__bin.9,96.75675676,0.45045045
CrovadoreJ_2017__SRS1919172__bin.12,53.76175549,2.586206897
CrovadoreJ_2017__SRS1919172__bin.5,61.7,0.0
CrovadoreJ_2017__SRS1929208__bin.2,70.3578869,2.80078125
MASTER_WP4_CSIC_1__P2134_73322__bin.4,93.81368268,0.436681223
MASTER_WP4_CSIC_1__P2134_73322__bin.20,97.22222222,1.435185185
MASTER_WP4_CSIC_1__P2134_73322__bin.24,93.04981726,0.0
MASTER_WP4_CSIC_1__P2134_73322__bin.25,84.69582787,4.519440804
MASTER_WP4_CSIC_1__P2134_73322__bin.21,97.14828897,0.190114068
MASTER_WP4_CSIC_1__P2134_73322__bin.8,93.32358674,0.877192982
MASTER_WP4_CSIC_1__P2134_73322__bin.18,93.12881759,2.370689655
MASTER_WP4_CSIC_1__P2134_73322__bin.12,99.17617237,0.773130545
MASTER_WP4_CSIC_1__P2134_73322__bin.19,98.48484848,0.791245791
MASTER_WP4_CSIC_1__P2134_73322__bin.26,77.11531295,4.363888603
MASTER_WP4_CSIC_1__P2134_73322__bin.2,56.37931034,1.724137931
MASTER_WP4_CSIC_1__P2134_73322__bin.3,91.78970917,2.348993289
MASTER_WP4_CSIC_1__P2134_73322__bin.7,91.87801932,3.482286634
MASTER_WP4_CSIC_1__P2134_73322__bin.16,93.6,0.1
MASTER_WP4_CSIC_1__P2135_73322__bin.1,88.57314871,3.973509934
MASTER_WP4_CSIC_1__P2135_73322__bin.7,97.57326007,0.549450549
MASTER_WP4_CSIC_1__P2136_73322__bin.13,96.2372065,2.008830022
MASTER_WP4_CSIC_1__P2136_73322__bin.11,81.34207356,3.051680829
MASTER_WP4_CSIC_1__P2136_73322__bin.20,54.31034483,1.724137931
MASTER_WP4_CSIC_1__P2136_73322__bin.16,52.54702194,0.05387931
MASTER_WP4_CSIC_1__P2136_73322__bin.3,95.77137546,0.681536555
MASTER_WP4_CSIC_1__P2136_73322__bin.14,98.09885932,0.836501901
MASTER_WP4_CSIC_1__P2136_73322__bin.21,74.94146433,0.652173913
MASTER_WP4_CSIC_1__P2136_73322__bin.26,50.0,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.61,89.58842457,0.568181818
MASTER_WP4_CSIC_1__P2137_73322__bin.32,85.55208983,1.008005822
MASTER_WP4_CSIC_1__P2137_73322__bin.57,88.53897158,1.635220126
MASTER_WP4_CSIC_1__P2137_73322__bin.19,67.24137931,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.37,89.18322296,3.702588802
MASTER_WP4_CSIC_1__P2137_73322__bin.20,99.38650307,0.766871166
MASTER_WP4_CSIC_1__P2137_73322__bin.23,98.27327327,1.156156156
MASTER_WP4_CSIC_1__P2137_73322__bin.40,87.69412269,3.153153153
MASTER_WP4_CSIC_1__P2137_73322__bin.14,66.03403141,0.523560209
MASTER_WP4_CSIC_1__P2137_73322__bin.62,98.06034483,0.431034483
MASTER_WP4_CSIC_1__P2137_73322__bin.17,98.54651163,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.15,97.54901961,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.16,99.3373494,2.231425703
MASTER_WP4_CSIC_1__P2137_73322__bin.1,93.18568726,0.969945355
MASTER_WP4_CSIC_1__P2137_73322__bin.21,79.84790875,0.538656527
MASTER_WP4_CSIC_1__P2137_73322__bin.27,56.37931034,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.2,93.91304348,2.463768116
MASTER_WP4_CSIC_1__P2137_73322__bin.33,58.85156557,2.902036235
MASTER_WP4_CSIC_1__P2137_73322__bin.36,95.07772021,4.576856649
MASTER_WP4_CSIC_1__P2137_73322__bin.38,91.72108027,1.850443599
MASTER_WP4_CSIC_1__P2137_73322__bin.39,98.56927711,1.40562249
MASTER_WP4_CSIC_1__P2137_73322__bin.3,96.92771084,0.903614458
MASTER_WP4_CSIC_1__P2137_73322__bin.43,97.37373737,1.161616162
MASTER_WP4_CSIC_1__P2137_73322__bin.45,72.38001638,2.072072072
MASTER_WP4_CSIC_1__P2137_73322__bin.46,50.0,0.0
MASTER_WP4_CSIC_1__P2137_73322__bin.60,97.34840905,2.281368821
MASTER_WP4_CSIC_1__P2137_73322__bin.66,98.90710383,0.273224044
MASTER_WP4_CSIC_1__P2137_73322__bin.9,52.93103448,1.724137931
MASTER_WP4_CSIC_1__P2138_73322__bin.16,52.75030074,0.753794968
MASTER_WP4_CSIC_1__P2138_73322__bin.8,52.29885057,1.724137931
MASTER_WP4_CSIC_1__P2138_73322__bin.5,98.01324503,0.331125828
MASTER_WP4_CSIC_1__P2138_73322__bin.7,96.21621622,0.0
MASTER_WP4_CSIC_1__P2139_73322__bin.7,77.68940182,0.58224163
MASTER_WP4_CSIC_1__P2139_73322__bin.4,92.4033536,3.018867925
MASTER_WP4_FFoQSI_1__DC18-032__bin.3,95.94983005,2.367424242
MASTER_WP4_FFoQSI_1__DC18-032__bin.19,70.14106583,4.310344828
MASTER_WP4_FFoQSI_1__DC18-032__bin.1,93.33333333,1.388888889
MASTER_WP4_FFoQSI_1__DC18-032__bin.14,97.74834437,0.0
MASTER_WP4_FFoQSI_1__DC18-032__bin.15,93.3662928,1.141282959
MASTER_WP4_FFoQSI_1__DC18-032__bin.4,79.83280971,3.930020284
MASTER_WP4_FFoQSI_1__DC18-032__bin.5,52.38244514,0.0
MASTER_WP4_FFoQSI_1__DC18-032__bin.18,98.52614016,0.431034483
MASTER_WP4_FFoQSI_1__DC18-032__bin.11,81.23836985,2.187922583
MASTER_WP4_FFoQSI_1__RC17-032__bin.2,68.83257087,0.535454356
MASTER_WP4_FFoQSI_1__RC17-032__bin.11,90.2251408,4.618055556
MASTER_WP4_FFoQSI_1__RC17-032__bin.4,97.07224335,1.013941698
MASTER_WP4_FFoQSI_1__RC17-032__bin.3,95.83333333,2.040229885
MASTER_WP4_FFoQSI_1__RC17-032__bin.10,96.44808743,1.639344262
MASTER_WP4_FFoQSI_2__VB05-22__bin.1,94.35953421,0.269286754
MASTER_WP4_FFoQSI_2__VB05-22__bin.3,93.81898455,0.0
MASTER_WP4_FFoQSI_2__VB08-22__bin.6,66.3460872,0.40444999
MASTER_WP4_FFoQSI_2__VB08-22__bin.10,85.76726955,4.564246676
MASTER_WP4_FFoQSI_2__VB08-22__bin.4,95.77922078,0.0
MASTER_WP4_FFoQSI_2__VB08-22__bin.9,98.74399301,2.829292267
MASTER_WP4_FFoQSI_2__VB10-22__bin.18,72.22222222,0.555555556
MASTER_WP4_FFoQSI_2__VB10-22__bin.16,71.34256472,0.662251656
MASTER_WP4_FFoQSI_2__VB10-22__bin.3,68.96551724,0.0
MASTER_WP4_FFoQSI_2__VB10-22__bin.2,85.31527996,2.756410256
MASTER_WP4_FFoQSI_2__VB10-22__bin.5,97.29390681,0.833333333
MASTER_WP4_FFoQSI_2__VB10-22__bin.20,99.34210526,0.0
MASTER_WP4_FFoQSI_2__VB10-22__bin.15,83.2,0.6
MASTER_WP4_FFoQSI_2__VB10-22__bin.21,78.5,0.5
MASTER_WP4_FFoQSI_2__VB11-22__bin.1,92.37020864,0.655021834
MASTER_WP4_FFoQSI_2__VB11-22__bin.7,96.90949227,0.242825607
MASTER_WP4_FFoQSI_2__VB11-22__bin.5,68.96551724,0.0
MASTER_WP4_FFoQSI_2__VB11-22__bin.9,96.42857143,0.0
MASTER_WP4_FFoQSI_2__VB11-22__bin.10,51.3061651,0.0
MASTER_WP4_FFoQSI_2__VB11-22__bin.8,98.36706121,0.848686697
MASTER_WP4_FFoQSI_2__VB15-22__bin.7,77.30834546,0.659180703
MASTER_WP4_FFoQSI_2__VB15-22__bin.3,55.17241379,0.0
MASTER_WP4_FFoQSI_2__VB15-22__bin.13,95.40284176,3.138159689
MASTER_WP4_FFoQSI_2__VB15-22__bin.2,57.75862069,0.0
MASTER_WP4_FFoQSI_2__VB15-22__bin.9,57.25166411,0.135120336
MASTER_WP4_FFoQSI_2__VB15-22__bin.1,58.48637,0.790229885
MASTER_WP4_FFoQSI_2__VB15-22__bin.6,95.82800609,4.294312993
MASTER_WP4_FFoQSI_2__VB16-22__bin.8,90.57028488,0.451237263
MASTER_WP4_FFoQSI_2__VB16-22__bin.10,98.33333333,1.018518519
MASTER_WP4_FFoQSI_2__VB16-22__bin.15,94.31065623,1.589403974
MASTER_WP4_FFoQSI_2__VB16-22__bin.23,72.20004705,3.003246753
MASTER_WP4_FFoQSI_2__VB16-22__bin.6,95.77922078,0.0
MASTER_WP4_FFoQSI_2__VB16-22__bin.5,81.69602837,4.618926332
MASTER_WP4_FFoQSI_2__VB16-22__bin.11,93.33886813,3.915317559
MASTER_WP4_FFoQSI_2__VB16-22__bin.7,98.68421053,0.0
MASTER_WP4_FFoQSI_2__VB16-22__bin.14,96.27192982,2.094298246
MASTER_WP4_FFoQSI_2__VB16-22__bin.17,97.84567497,1.433486239
MASTER_WP4_FFoQSI_2__VB16-22__bin.19,94.55006337,0.443599493
MASTER_WP4_FFoQSI_2__VB16-22__bin.2,98.34437086,1.181015453
MASTER_WP4_FFoQSI_3__VB01-22__bin.3,56.72330889,0.513620295
MASTER_WP4_FFoQSI_3__VB01-22__bin.2,88.71701834,1.008202324
MASTER_WP4_FFoQSI_3__VB01-22__bin.1,58.45439111,0.879120879
MASTER_WP4_FFoQSI_3__VB02-22__bin.2,65.2187347,0.560407569
MASTER_WP4_FFoQSI_3__VB02-22__bin.6,98.92407907,1.477987421
MASTER_WP4_FFoQSI_3__VB02-22__bin.3,94.72987902,4.765073604
MASTER_WP4_FFoQSI_3__VB02-22__bin.7,98.45474614,1.324503311
MASTER_WP4_FFoQSI_3__VB02-22__bin.5,80.53935381,2.065047022
MASTER_WP4_FFoQSI_3__VB02-22__bin.4,89.90599554,2.754039116
MASTER_WP4_FFoQSI_3__VB07-22__bin.24,94.48051948,0.0
MASTER_WP4_FFoQSI_3__VB07-22__bin.13,89.39502999,2.611961451
MASTER_WP4_FFoQSI_3__VB07-22__bin.6,86.55191535,2.765567766
MASTER_WP4_FFoQSI_3__VB07-22__bin.17,95.91906946,4.881498471
MASTER_WP4_FFoQSI_3__VB07-22__bin.2,99.33774834,0.022075055
MASTER_WP4_FFoQSI_3__VB07-22__bin.8,92.47469783,4.863841561
MASTER_WP4_FFoQSI_3__VB07-22__bin.11,82.18201754,1.629072682
MASTER_WP4_FFoQSI_3__VB07-22__bin.12,95.24941211,3.591954023
MASTER_WP4_FFoQSI_3__VB12-22__bin.6,89.70653703,1.194467363
MASTER_WP4_FFoQSI_3__VB12-22__bin.7,51.72413793,0.0
MASTER_WP4_FFoQSI_3__VB12-22__bin.3,98.67549669,0.022075055
MASTER_WP4_FFoQSI_3__VB14-22__bin.22,96.47401434,1.161616162
MASTER_WP4_FFoQSI_3__VB14-22__bin.4,82.56782946,2.42248062
MASTER_WP4_FFoQSI_3__VB14-22__bin.19,95.69536424,4.271523179
MASTER_WP4_FFoQSI_3__VB14-22__bin.28,89.14962249,3.013322884
MASTER_WP4_FFoQSI_3__VB14-22__bin.57,75.63358662,0.0
MASTER_WP4_FFoQSI_3__VB14-22__bin.34,84.48237885,2.98825257
MASTER_WP4_FFoQSI_3__VB14-22__bin.64,96.2962963,1.111111111
MASTER_WP4_FFoQSI_3__VB14-22__bin.5,93.98974868,0.814281205
MASTER_WP4_FFoQSI_3__VB14-22__bin.68,66.1248244,1.324503311
MASTER_WP4_FFoQSI_3__VB14-22__bin.12,98.08558559,1.833976834
MASTER_WP4_FFoQSI_3__VB14-22__bin.44,51.72413793,1.724137931
MASTER_WP4_FFoQSI_3__VB14-22__bin.49,62.93103448,0.0
MASTER_WP4_FFoQSI_3__VB14-22__bin.23,94.20380079,1.544888598
MASTER_WP4_FFoQSI_3__VB14-22__bin.50,98.13218391,0.766283525
MASTER_WP4_FFoQSI_3__VB14-22__bin.27,78.71286588,4.079292267
MASTER_WP4_FFoQSI_3__VB14-22__bin.39,67.97410192,4.678362573
MASTER_WP4_FFoQSI_3__VB14-22__bin.29,82.57198228,0.639534884
MASTER_WP4_FFoQSI_3__VB14-22__bin.62,94.7761031,2.47051114
MASTER_WP4_FFoQSI_3__VB14-22__bin.46,94.67889908,4.816513761
MASTER_WP4_FFoQSI_3__VB14-22__bin.56,76.72413793,2.586206897
MASTER_WP4_FFoQSI_3__VB14-22__bin.43,86.96447231,3.256704981
